,Rank,Wine,Winery,Vintage,Score,Price,Notes,ListYear
85,59,Pommery Brut Champagne +,Pommery,1982,93,24.0,Delicate style with plenty of charm and complexity. It's very toasty and creamy with rich honey and very delicate nuances. The finish is long and smooth with plenty of complexity. At the price a relative bargain. —,1988
86,81,Inglenook-Napa Valley Gravion Napa Valley +,Inglenook-Napa Valley,1986,91,9.0,"Vivid and stylish, with crisp structure and sharply defined aromas and flavors. Full-bodied, with delicious oak, vanilla, orange peel and lemon flavors that are well-intergrated and deep; long, spicy finish. Sémillon and Sauvignon Blanc. —",1988
87,95,Kistler Chardonnay Russian River Valley Dutton Ranch +,Kistler,1987,92,18.0,"Rich, crisp and tightly wound with pretty spice, apple, pear and vanilla flavors peeking through. A pleasant kiss of oak adds complexity and dimension. Finish offers butterscotch and finesse. —",1988
88,87,Cosentino Cabernet Franc North Coast +,Cosentino,1986,92,14.0,"Rich, lush and elegant with ripe fruit, spicy, concentrated raspberry, cherry, herb and chocolate flavors that spread out on the palate. Impeccibly well balanced, seducitive now, but it should only get better. —",1988
89,94,Chateau St. Jean Chardonnay Alexander Valley Belle Terre Vineyard +,Chateau St. Jean,1986,92,17.0,—,1988
90,79,Caymus Cabernet Sauvignon Napa Valley Cuvée +,Caymus,1985,92,12.0,"Ripe style with attractive plum, spice, cherry and cassis fruit, packed wit h tannins and crisp acidity. Firm, tight and balanced, built for the next decade. —",1988
91,90,Buena Vista Sauvignon Blanc Lake County +,Buena Vista,1987,90,7.0,"Juicy, ripe, fruity and complex, distinctive, with very pretty grapefruit, melon, apple, and herb flavors. Soft, delicate and broad in structure, this is the second great Sauvignon Blanc in a row from this winery. —",1988
92,88,Antinori Santa Cristina +,Antinori,1985,90,6.0,"A stylish wine that offers great value. Good concentration of cherry and ra spberry fruit with overtones of smoke, chocolate and ripe plum. Delicious n ow but it will be even better to drink after 1991 when the tannins have smo othed out. —",1988
93,82,Preston Syrah-Sirah Dry Creek Valley +,Preston,1985,91,10.0,"Bursting with fresh, lively fruit. Lots of black cherry, blackberry and raspberry flavors in spades, It's fleshy and jammy with enough tannin and acidity to clean off your palate. —",1988
94,97,Paul Jaboulet Aîné Hermitage La Chapelle +,Paul Jaboulet Aîné,1985,90,30.0,—,1988
95,96,Beringer Chardonnay Napa Valley Private Reserve +,Beringer,1986,91,16.0,"Firm and concentrated, a tightly wound wine with toasty aromas and ripe but reined-in flavors of pear and butterscotch. Silky texture, beautifully foc used and long. Shows a great deal of subtlety and plenty of room to grow. —",1988
96,85,Silverado Vineyards Chardonnay Napa Valley +,Silverado Vineyards,1986,92,12.0,"Delicate and delicious yet supported by rich, complex flavors of vanilla, honey and pear. Firmly structured with tangy acid, nicely oily in texture, long and flavorful on the finish. —",1988
97,100,Moët & Chandon Brut Champagne Cuvée Dom Pérignon +,Moët & Chandon,1982,93,150.0,"Defines the richness and elegance of Champagne, delicate and concentrated w ith spicy pear, toasty vanilla, subtle and fine with a touch of hazelnut on the finish. —",1988
98,93,San Felice Chianti Classico Il Grigio Riserva +,San Felice,1982,90,11.0,"Remarkably youthful color and lovely violet-tinged fruit on the nose only hints at the rich, raspberry, cherry and plum fruit on the palate. Hints of toast and chocolate chime in on the velvety finish. —",1988
99,99,Zaca Mesa Pinot Noir Santa Barbara County Reserve +,Zaca Mesa,1986,91,15.0,"Very toasty and spicy, yet smooth as silk on the palate. Aromas and flavors of cinnamon, strawberry and raspberry are nicely supported by the right frame of oak. Superb balance. —",1988
100,1,Caymus Cabernet Sauvignon Napa Valley Special Selection +,Caymus,1984,98,38.0,"Amazingly deep and complex, as rich in color and aroma as it is on the palate, supple in texture but it just keeps coming at you with waves of plum, cherry, vanilla, chocolate and anise flavor, vibrant, exciting, as great a California wine as we've ever tasted. —",1989
101,2,Château Clerc Milon Pauillac +,Château Clerc Milon,1986,97,32.0,"Seductively rich and supple with layers of elegant plum, cherry and currant flavors that are beautifully defined before the tannins kick in on the finish. The notes linger on and on. Best from 1998 through 2009. —",1989
102,7,Château Cheval-Blanc St.-Emilion +,Château Cheval-Blanc,1986,98,80.0,"Good concentration of plum, currant and berry aromas. It crams all those characteristics into a suprisingly lithe and elegant structure. This may age past our lifetimes. Best after 1999. —JS",1989
103,4,Château Pichon-Longueville Baron Pauillac +,Château Pichon-Longueville Baron,1986,97,58.0,"Amazingly elegant and complex featuring rich cedar, currant, black cherry and cassis notes, with grace, harmony and the kind of structure that should ensure it will age beautifully until the turn of the century. The aftertaste echoes cherry flavors. —",1989
104,3,Heitz Cabernet Sauvignon Napa Valley Martha's Vineyard +,Heitz,1984,97,40.0,"A beautiful wine, one of the great Martha's ever, rich, elegant, loaded with refreshing black cherry, mint, and chocolate flavors that are the hallmark of Martha's Vineyard. Smooth and supple yet with the stuffing and tannins for long aging. 4,421 cases made. —",1989
105,5,Kendall-Jackson Cabernet Sauvignon California Cardinale +,Kendall-Jackson,1985,97,45.0,"You'd have to travel far to find a more complex and concentrated wine, from the first taste of currant, cherry and plum to the last waft of buttery oak and plum on the long finish. The extraordinary structure and integrated tannins should last beyond 2000. 1,000 cases made. —",1989
106,6,Château Margaux Margaux +,Château Margaux,1986,98,70.0,"An absolute classic; incredibly concentrated, complex, elegant and firm without a hint of hardness. Layers of blackberry, cassis, plum, cedar, vanilla and spice, yet there is also a sense of reserve, indicating this has plenty of room to grow. Best from 1995 through 2000. —JS",1989
